Response,pH,DissOxy,WellClass,Aquifier,Depth,Distance
1,7.15,0.11,"Private","Bedrock","*",3181.14
0,7.43,1.68,"Private","Bedrock","79.248",3094.32
0,7.87,0.24,"Private","Bedrock","45.72",687.07
0,8.11,0.23,"Private","Bedrock","45.72",1082.94
0,8.22,0.44,"Private","Bedrock","88.392",1832.5
0,7.61,0.61,"Private","Bedrock","121.92",2685.91
0,6.68,4.39,"Private","Bedrock","30.48",2772.19
0,7.52,0.46,"Private","Bedrock","47.244",831.1
1,7.43,0.56,"Public","Unconsoli","15.24",1142.56
0,7.76,6.63,"Public","Unconsoli","15.24",274.61
0,7.01,5.94,"Public","Unconsoli","19.202",775.4
0,6.55,7.07,"Public","Unconsoli","15.24",685.17
0,7.91,10.6,"Public","Unconsoli","14.63",3192.79
1,7.51,7.94,"Public","Unconsoli","24.994",2440.35
0,7.7,1.43,"Public","Unconsoli","18.288",2573.78
0,6.1,0.74,"Public","Unconsoli","*",804.76
0,6.57,1.26,"Public","Unconsoli","15.24",3009.59
1,7.64,0.35,"Public","Bedrock","48.768",1059.41
1,7.58,1.74,"Public","Bedrock","99.06",130.48
0,7.87,5.22,"Public","Bedrock","42.672",3627.21
0,8.09,0.37,"Public","Bedrock","106.68",1090.68
0,7.9,0.4,"Public","Bedrock","68.58",1478.05
1,6.4,2.14,"Public","Bedrock","42.672",1945.64
0,8.05,0.42,"Public","Bedrock","80.772",1049.97
0,7.66,0.79,"Public","Bedrock","91.44",1346.78
0,8.08,0.71,"Public","Bedrock","155.448",1379.81
1,7.28,3.33,"Public","Bedrock","60.96",891.93
0,6.31,3.07,"Public","Unconsoli","13.411",1941.97
1,7.22,0.39,"Public","Bedrock","286.817",996.74
0,7.98,0.34,"Public","Bedrock","68.58",953.12
1,8.39,0.48,"Public","Bedrock","81.686",610.9
1,7.84,5.07,"Public","Bedrock","100.584",1007.11
1,6.28,2.98,"Public","Bedrock","77.724",1978.78
0,6.94,0.36,"Public","Bedrock","121.92",335.22
1,7.47,0.39,"Public","Bedrock","225.552",1006.58
1,6.49,4.77,"Public","Bedrock","53.34",264.93
0,6.05,6.93,"Public","Unconsoli","10.668",1664.94
0,6.41,2.52,"Public","Bedrock","54.864",1516.36
1,8.73,7.81,"Public","Bedrock","182.88",111.42
0,7.22,0.6,"Public","Bedrock","45.72",367.52
0,7.08,6.89,"Public","Bedrock","79.248",1245.9
0,7.14,1.23,"Public","Bedrock","79.248",1244.09
0,7.45,1.53,"Public","Bedrock","42.672",2487.94
0,7.47,1.53,"Public","Bedrock","42.672",2487.54
1,7.86,0.47,"Public","Bedrock","45.72",738.61
0,8.04,0.28,"Public","Bedrock","109.728",1729.81
0,7.64,6.82,"Public","Bedrock","45.72",3632.06
1,6.12,3.22,"Public","Bedrock","182.88",2193.56
0,8.56,0.41,"Public","Bedrock","57.912",406.54
0,7.61,7.84,"Public","Bedrock","54.864",786.84
1,7.44,0.39,"Public","Bedrock","200.558",405.78
1,7.57,1.14,"Public","Bedrock","91.44",1075.11
1,5.28,4.72,"Public","Bedrock","42.672",56.25
1,5.34,4.45,"Public","Bedrock","73.152",51.53
1,6.5,4.18,"Public","Bedrock","121.92",549.75
0,7.66,2.74,"Public","Bedrock","97.536",2861.51
1,8.1,0.72,"Public","Bedrock","97.536",574.59
0,7,0.42,"Public","Bedrock","153.924",330.46
1,7.97,0.48,"Public","Bedrock","182.88",391.18
1,7.96,0.36,"Public","Bedrock","182.88",386.26
0,7.82,0.51,"Public","Bedrock","152.4",470.44
0,8.06,0.4,"Public","Bedrock","42.672",2493.96
0,6.33,3.32,"Public","Bedrock","48.768",597.65
0,8.38,0.55,"Public","Bedrock","48.768",2270.32
0,5.77,8.31,"Public","Unconsoli","5.791",2181.65
0,6.15,8.14,"Public","Unconsoli","7.925",929.21
0,6.53,0.39,"Public","Bedrock","48.768",1084.34
0,8.22,4.5,"Public","Bedrock","152.4",2832.47
1,7.75,7.52,"Public","Bedrock","89.916",4147.82
1,5.59,3.61,"Public","Bedrock","76.2",265.08
0,8.02,0.35,"Public","Bedrock","214.884",1098.26
0,8.04,0.46,"Public","Bedrock","140.208",553.67
0,7.41,1.76,"Public","Bedrock","146.304",911.75
1,6.65,0.53,"Public","Bedrock","134.112",2197.44
0,7.87,1.57,"Public","Bedrock","129.54",1150.91
1,6.53,6.33,"Public","Bedrock","99.06",3632.12
1,7.32,3.51,"Public","Bedrock","152.4",2315.74
1,6.3,0.41,"Public","Bedrock","60.96",162.03
0,7.81,8.26,"Public","Bedrock","79.248",1842.73
1,7.7,1.84,"Public","Bedrock","91.44",3084.46
0,7.49,0.45,"Public","Bedrock","77.114",1114.43
1,7.59,2.25,"Public","Bedrock","112.776",782.47
0,6.95,0.41,"Public","Bedrock","61.57",626.39
0,6.58,3.19,"Public","Bedrock","76.2",1193.43
1,6.91,0.44,"Public","Bedrock","152.4",888.77
1,8.17,1.1,"Public","Bedrock","152.4",2909.45
0,8.96,0.1,"Public","Bedrock","134.112",2957.61
1,7.78,4.79,"Public","Bedrock","182.88",333.35
0,7.24,4.3,"Public","Bedrock","90.526",604.23
0,7.7,0.5,"Public","Bedrock","188.976",599.11
1,7.27,7.54,"Public","Bedrock","160.02",1451.97
0,8.81,0.36,"Public","Bedrock","70.104",1272.95
1,8.05,0.35,"Public","Bedrock","76.2",254.57
1,7.66,0.43,"Public","Bedrock","80.162",916.83
0,7.3,0.59,"Public","Bedrock","121.92",141.77
0,8.12,0.53,"Public","Bedrock","91.44",716.44
1,7.4,7.33,"Public","Bedrock","132.588",4156.63
0,8.21,0.43,"Public","Bedrock","60.35",723.89
0,8.12,0.49,"Public","Bedrock","152.4",270.91
1,7.53,0.32,"Public","Bedrock","121.92",65.93
1,7.45,0.17,"Public","Bedrock","152.4",142.26
0,8.31,0.59,"Public","Bedrock","91.44",1703.94
0,6.4,2.73,"Public","Bedrock","38.1",539.56
1,7.34,0.53,"Public","Bedrock","310.896",1292.41
0,7.28,3.25,"Public","Bedrock","68.58",3066.18
0,7.86,0.37,"Public","Bedrock","44.806",1812.88
0,7.37,0.63,"Public","Bedrock","47.854",4651.51
0,7.39,1,"Public","Bedrock","46.025",5239.42
0,8.15,1.3,"Public","Bedrock","*",1694.76
1,7.35,5.7,"Public","Unconsoli","15.24",2935.85
0,8.07,0.5,"Public","Bedrock","43.891",1963.71
1,7.62,2.57,"Public","Bedrock","45.72",1307.4
0,6.02,6.07,"Public","Unconsoli","13.716",1079.9
0,7.6,2.09,"Public","Bedrock","*",531.89
0,8.32,0.35,"Public","Bedrock","61.874",3909.57
1,6.04,4.4,"Public","Bedrock","86.868",58.88
0,9.03,0.41,"Public","Bedrock","*",3066.65
1,5.43,2.53,"Public","Unconsoli","*",1039.99
1,7.3,1.88,"Public","Unconsoli","*",953.94
1,5.85,5.29,"Public","Unconsoli","9.144",1746.12
0,6.6,7.99,"Public","Unconsoli","15.24",596.88
1,6.56,5.12,"Public","Unconsoli","13.411",812.91
0,7.69,1.48,"Public","Bedrock","*",418.25
0,7.5,8.45,"Public","Bedrock","60.96",242.05
0,7.22,4.04,"Public","Unconsoli","15.24",2770.26
0,7.84,0.41,"Public","Bedrock","106.68",1899.85
0,7.75,0.5,"Public","Bedrock","45.72",1358.67
0,6.33,3.88,"Public","Unconsoli","4.572",2181.43
